Accession	Main product	Biosynthetic class	Organism
BGC0001688	N-tetradecanoyl tyrosine	Other	uncultured bacterium CSLC2
BGC0001687	N-tetradecanoyl tyrosine	Other	uncultured bacterium CSL12
BGC0000223	rabelomycin, dehydrorabelomycin, fluostatin F, fluostatin G, fluostatin H	Type II polyketide	uncultured bacterium BAC AB649/1850
BGC0001203	clarexpoxcin	NRP	uncultured bacterium AR_456
BGC0001203	clarexpoxcin	Polyketide	uncultured bacterium AR_456
BGC0001202	landepoxcin	NRP	uncultured bacterium AR_412
BGC0001202	landepoxcin	Polyketide	uncultured bacterium AR_412
BGC0001333	BE-54017	Alkaloid	uncultured bacterium AB1650
BGC0000427	shinorine, 4-deoxygadusol, mycosporine glycine	NRP	Trichormus variabilis ATCC 29413
BGC0001144	neosartoricin B	Polyketide	Trichophyton tonsurans CBS 112818
BGC0000481	trichamide	Cyanobactin	Trichodesmium erythraeum IMS101
BGC0001609	gliovirin	NRP	Trichoderma virens Gv29-8
BGC0001854	tricholignan A	Iterative type I polyketide	Trichoderma harzianum
BGC0001901	tricholignan A	Polyketide	Trichoderma harzianum
BGC0000334	cyclosporine	NRP	Tolypocladium inflatum NRRL8044
BGC0001260	terpendole E	Terpene	Tolypocladium album
BGC0000985	didemnin B, nordidemnin B, didemnin X, didemnin Y	Polyketide	Tistrella mobilis KA081020-065
BGC0000985	didemnin B, nordidemnin B, didemnin X, didemnin Y	Cyclic depsipeptide	Tistrella mobilis KA081020-065
BGC0001050	thalassospiramide A	Lipopeptide	Tistrella bauzanensis
BGC0001050	thalassospiramide A	Trans-AT type I polyketide	Tistrella bauzanensis
BGC0001449	ucs1025a	NRP	Thermothelomyces thermophilus
BGC0001449	ucs1025a	Alkaloid	Thermothelomyces thermophilus
BGC0001449	ucs1025a	Iterative type I polyketide	Thermothelomyces thermophilus
BGC0001860	thiomuracin	Thiopeptide	Thermobispora bispora DSM 43833
BGC0000359	fuscachelin A, fuscachelin B, fuscachelin C	NRP	Thermobifida fusca YX
BGC0001889	fusilassin	RiPP	Thermobifida fusca YX
BGC0001876	thalassospiramide A	NRP	Thalassospira sp. CNJ-328
BGC0000185	tartrolon	Polyketide	Teredinibacter turnerae T7901
BGC0000451	turnerbactin	NRP	Teredinibacter turnerae T7901
BGC0001531	bisucaberin B	Other	Tenacibaculum mesophilum
BGC0001747	pseudaminic acid	Other	Tannerella forsythia
BGC0001651	legionaminic acid	Other	Tannerella forsythia 92A2
BGC0001954	wortmanamide A, wortmanamide B	NRP	Talaromyces wortmannii
BGC0001954	wortmanamide A, wortmanamide B	Polyketide	Talaromyces wortmannii
BGC0001969	asperterpenoid A	Terpene	Talaromyces wortmannii
BGC0001926	chrodrimanin B	Polyketide	Talaromyces verruculosus
BGC0000154	stipitatic acid	Iterative type I polyketide	Talaromyces stipitatus ATCC 10500
BGC0001578	duclauxin	Polyketide	Talaromyces stipitatus ATCC 10500
BGC0000099	monascorubrin	Polyketide	Talaromyces marneffei
BGC0001402	cyclochlorotine, hydroxy-cyclochlorotine, cyclotine, cyclochlorotine B, deoxy-Cyclochlorotine	NRP	Talaromyces islandicus
BGC0001526	bartolosides E, bartolosides F, bartolosides G, bartolosides H, bartolosides I, bartolosides J, bartolosides K	Other	Synechocystis salina LEGE 06099
BGC0001525	bartoloside 2, bartoloside 3, bartoloside 4	Other	Synechocystis salina LEGE 06155
BGC0001160	1-nonadecene, (14Z)-1,14-nonadecadiene	Modular type I polyketide	Synechococcus sp. PCC 7002
BGC0001678	mycosporine-like amino acids (MAAs)	Other	Symbiodinium sp. clade A Y106
BGC0001883	porphyra-334	Other	Symbiodinium sp. clade A Y106
BGC0001524	barnesin A	NRP	Sulfurospirillum barnesii SES-3
BGC0001524	barnesin A	Polyketide	Sulfurospirillum barnesii SES-3
BGC0001909	strobilurin	Polyketide	Strobilurus tenacellus
BGC0000428	sibiromycin	NRP	Streptosporangium sibiricum
BGC0001376	WS79089A, hexaricin B, hexaricin C	Polyketide	Streptosporangium sp. FXJ7.131
BGC0001944	funisamine	Polyketide	Streptosporangium sp.
BGC0001540	CC-1065	Other	Streptomyces zelensis
BGC0000933	xiamenmycin A	Other	Streptomyces xiamenensis
BGC0000130	pyrrolomycin A, pyrrolomycin B, pyrrolomycin C, pyrrolomycin D	Polyketide	Streptomyces vitaminophilus
BGC0000805	moenomycin	Saccharide	Streptomyces viridosporus ATCC 14672
BGC0000026	avilamycin A, avilamycin C	Oligosaccharide	Streptomyces viridochromogenes Tue57
BGC0000379	glycinocin A	NRP	Streptomyces viridochromogenes
BGC0000406	phosphinothricintripeptide	NRP	Streptomyces viridochromogenes
BGC0000518	informatipeptin	Lanthipeptide	Streptomyces viridochromogenes DSM 40736
BGC0001116	virginiamycin S1	NRP	Streptomyces virginiae
BGC0001116	virginiamycin S1	Polyketide	Streptomyces virginiae
BGC0000114	nigericin	Modular type I polyketide	Streptomyces violaceusniger
BGC0001012	meridamycin	NRP	Streptomyces violaceusniger
BGC0001012	meridamycin	Polyketide	Streptomyces violaceusniger
BGC0000227	granaticin	Type II polyketide	Streptomyces violaceoruber
BGC0000228	granaticin	Polyketide	Streptomyces violaceoruber
BGC0001066	kendomycin	Modular type I polyketide	Streptomyces violaceoruber
BGC0000953	amicetin	Aminoglycoside	Streptomyces vinaceusdrappus
BGC0001979	LL-D49194α1 (LLD)	Polyketide	Streptomyces vinaceusdrappus
BGC0000458	viomycin	NRP	Streptomyces vinaceus
BGC0000963	bleomycin	Glycopeptide	Streptomyces verticillus
BGC0000963	bleomycin	Modular type I polyketide	Streptomyces verticillus
BGC0000963	bleomycin	Hybrid/tailoring saccharide	Streptomyces verticillus
BGC0001204	versipelostatin	Polyketide	Streptomyces versipellis
BGC0000094	methymycin	Modular type I polyketide	Streptomyces venezuelae
BGC0000094	methymycin	Hybrid/tailoring saccharide	Streptomyces venezuelae
BGC0000898	desosamine	Hybrid/tailoring saccharide	Streptomyces venezuelae
BGC0001819	venemycin	Polyketide	Streptomyces venezuelae
BGC0000234	jadomycin	Polyketide	Streptomyces venezuelae ATCC 10712
BGC0000563	venezuelin	Lanthipeptide	Streptomyces venezuelae ATCC 10712
BGC0000893	chloramphenicol	NRP	Streptomyces venezuelae ATCC 10712
BGC0001801	thiazostatin, watasemycin A, watasemycin B, 2-hydroxyphenylthiazoline enantiopyochelin, isopyochelin	NRP	Streptomyces venezuelae ATCC 10712
BGC0001348	JBIR-100	Modular type I polyketide	Streptomyces varsoviensis
BGC0001849	thiovarsolin A, thiovarsolin B, thiovarsolin C, thiovarsolin D	RiPP	Streptomyces varsoviensis
BGC0001334	caldoniamide A, cladoniamide B, cladoniamide C7, cladoniamide D, cladoniamide E, cladoniamide F, cladoniamide G	Alkaloid	Streptomyces uncialis
BGC0001377	uncialamycin	Polyketide	Streptomyces uncialis
BGC0001815	uncialamycin	Polyketide	Streptomyces uncialis
BGC0000444	thaxtomin A	NRP	Streptomyces turgidiscabies Car8
BGC0001937	tubercidin	Other	Streptomyces tubercidicus
BGC0000453	valinomycin	Cyclic depsipeptide	Streptomyces tsusimaensis
BGC0000886	allylmalonyl-CoA	Other	Streptomyces tsukubensis
BGC0000450	triostin A	NRP	Streptomyces triostinicus
BGC0000290	A-47934	Glycopeptide	Streptomyces toyocaensis
BGC0000382	lipstatin	NRP	Streptomyces toxytricini
BGC0000024	aureothin	Modular type I polyketide	Streptomyces thioluteus
BGC0001574	diisonitrile antibiotic SF2768	NRP	Streptomyces thioluteus
BGC0000700	istamycin	Saccharide	Streptomyces tenjimariensis
BGC0000242	lysolipin I	Polyketide	Streptomyces tendae
BGC0000876	neopolyoxin C	Other	Streptomyces tendae
BGC0001474	thiopeptin	Thiopeptide	Streptomyces tateyamensis
BGC0000579	SSV-2083	Lanthipeptide	Streptomyces sviceus ATCC 29083
BGC0000273	steffimycin D	Type II polyketide	Streptomyces steffisburgensis
BGC0000273	steffimycin D	Hybrid/tailoring saccharide	Streptomyces steffisburgensis
BGC0000159	tautomycin	Modular type I polyketide	Streptomyces spiroverticillatus
BGC0000715	actinospectacin	Saccharide	Streptomyces spectabilis
BGC0001785	streptovaricin	Polyketide	Streptomyces spectabilis
BGC0001905	violapyrone B	Polyketide	Streptomyces somaliensis
BGC0000611	siomycin A	Thiopeptide	Streptomyces sioyaensis
BGC0000655	siomycin	Terpene	Streptomyces sioyaensis
BGC0001778	showdomycin	Other	Streptomyces showdoensis
BGC0001784	streptoseomycin	Polyketide	Streptomyces seoulensis
BGC0001939	streptoseomycin	Polyketide	Streptomyces seoulensis
BGC0001196	desotamide	NRP	Streptomyces scopuliridis
BGC0001771	scleric acid	NRP	Streptomyces sclerotialus
BGC0001194	hitachimycin	Polyketide	Streptomyces scabrisporus
BGC0000423	scabichelin	NRP	Streptomyces scabiei 87.22
BGC0001157	bottromycin A2	Bottromycin	Streptomyces scabiei 87.22
BGC0000237	lactonamycin Z	Polyketide	Streptomyces sanglieri
BGC0000960	azinomycin B	NRP	Streptomyces sahachiroi
BGC0000960	azinomycin B	Polyketide	Streptomyces sahachiroi
BGC0000904	FR-900098	Other	Streptomyces rubellomurinus
BGC0001002	jawsamycin	NRP	Streptomyces roseoverticillatus
BGC0001002	jawsamycin	Polyketide	Streptomyces roseoverticillatus
BGC0000225	frenolicin B	Polyketide	Streptomyces roseofulvus
BGC0000832	clorobiocin	Hybrid/tailoring saccharide	Streptomyces roseochromogenus subsp. oscitans DS 12.976
BGC0000832	clorobiocin	Aminocoumarin	Streptomyces roseochromogenus subsp. oscitans DS 12.976
BGC0000085	lankamycin	Polyketide	Streptomyces rochei
BGC0000432	streptothricin	NRP	Streptomyces rochei
BGC0001100	lankacidin C	NRP	Streptomyces rochei
BGC0001100	lankacidin C	Polyketide	Streptomyces rochei
BGC0001370	lipopeptide 8D1-1, lipopeptide 8D1-2	NRP	Streptomyces rochei
BGC0001533	borrelidin	Polyketide	Streptomyces rochei
BGC0000238	lactonamycin	Polyketide	Streptomyces rishiriensis
BGC0000833	coumermycin A1	Hybrid/tailoring saccharide	Streptomyces rishiriensis
BGC0000833	coumermycin A1	Aminocoumarin	Streptomyces rishiriensis
BGC0000254	oxytetracycline	Polyketide	Streptomyces rimosus
BGC0000879	toyocamycin, sangivamycin	Other	Streptomyces rimosus
BGC0000712	paromomycin	Saccharide	Streptomyces rimosus subsp. paromomycinus
BGC0001942	malonomycin	NRP	Streptomyces rimosus subsp. paromomycinus
BGC0001942	malonomycin	Polyketide	Streptomyces rimosus subsp. paromomycinus
BGC0001760	rimosamide	NRP	Streptomyces rimosus subsp. rimosus ATCC 10970
BGC0000882	mildiomycin	Other	Streptomyces rimofaciens
BGC0000713	ribostamycin	Saccharide	Streptomyces ribosidificus
BGC0000264	resistomycin, resistoflavine	Type II polyketide	Streptomyces resistomycificus
BGC0000303	anthramycin	NRP	Streptomyces refuineus subsp. thermotolerans
BGC0000263	ravidomycin	Polyketide	Streptomyces ravidus
BGC0001040	rapamycin	NRP	Streptomyces rapamycinicus NRRL 5491
BGC0001040	rapamycin	Polyketide	Streptomyces rapamycinicus NRRL 5491
BGC0001217	PreQ0 Base	Other	Streptomyces qinglanensis
BGC0001039	pyridomycin	NRP	Streptomyces pyridomyceticus
BGC0001039	pyridomycin	Polyketide	Streptomyces pyridomyceticus
BGC0000265	rhodomycin	Polyketide	Streptomyces purpurascens
BGC0000060	fostriecin	Polyketide	Streptomyces pulveraceus
BGC0001746	pristinol	Terpene	Streptomyces pristinaespiralis ATCC 25486
BGC0000126	pladienolide B	Polyketide	Streptomyces platensis
BGC0001140	platensimycin, platencin	Terpene	Streptomyces platensis
BGC0001156	platencin	Terpene	Streptomyces platensis
BGC0001898	thioplatensimycin, thioplatencin	Terpene	Streptomyces platensis
BGC0000177	iso-migrastatin, migrastatin, dorrigocin A, dorrigocin B, 13-epi-dorrigocin A	Modular type I polyketide	Streptomyces platensis subsp. rosaceus
BGC0000177	iso-migrastatin, migrastatin, dorrigocin A, dorrigocin B, 13-epi-dorrigocin A	Trans-AT type I polyketide	Streptomyces platensis subsp. rosaceus
BGC0000124	piericidin A1	Polyketide	Streptomyces piomogenus
BGC0000218	doxorubicin	Polyketide	Streptomyces peucetius
BGC0001731	paulomycin	Other	Streptomyces paulus
BGC0000031	borrelidin	Modular type I polyketide	Streptomyces parvulus
BGC0000118	pactamycin	Polyketide	Streptomyces pactum
BGC0000119	7-deoxypactamycin	Iterative type I polyketide	Streptomyces pactum
BGC0000119	7-deoxypactamycin	Hybrid/tailoring saccharide	Streptomyces pactum
BGC0001726	pactamides	NRP	Streptomyces pactum
BGC0001726	pactamides	Polyketide	Streptomyces pactum
BGC0001807	totopotensamide A, totopotensamide B	NRP	Streptomyces pactum
BGC0001807	totopotensamide A, totopotensamide B	Polyketide	Streptomyces pactum
BGC0000110	spectinabilin, orinocin, SNF4435C, SNF4435D	Modular type I polyketide	Streptomyces orinoci
BGC0001919	neoantimycin	NRP	Streptomyces orinoci
BGC0001919	neoantimycin	Polyketide	Streptomyces orinoci
BGC0000625	thioviridamide	RiPP	Streptomyces olivoviridis
BGC0001803	thioviridamide	RiPP	Streptomyces olivoviridis
BGC0000219	elloramycin	Type II polyketide	Streptomyces olivaceus
BGC0000219	elloramycin	Hybrid/tailoring saccharide	Streptomyces olivaceus
BGC0001719	olimycin A, olimycin B	Polyketide	Streptomyces olivaceus
BGC0000214	cosmomycin B	Polyketide	Streptomyces olindensis
BGC0001074	cosmomycin D	Saccharide	Streptomyces olindensis
BGC0001074	cosmomycin D	Polyketide	Streptomyces olindensis
BGC0001507	anantin C	RiPP	Streptomyces olindensis
BGC0001957	amipurimycin	Polyketide	Streptomyces novoguineensis
BGC0001958	amipurimycin	Other	Streptomyces novoguineensis
BGC0000115	nystatin A1	Modular type I polyketide	Streptomyces noursei ATCC 11455
BGC0000115	nystatin A1	Hybrid/tailoring saccharide	Streptomyces noursei ATCC 11455
BGC0000851	albonoursin	Other	Streptomyces noursei ATCC 11455
BGC0001569	dechlorocuracomycin	NRP	Streptomyces noursei ATCC 11455
BGC0000249	nogalamycin	Polyketide	Streptomyces nogalater
BGC0000016	amphotericin B	Other	Streptomyces nodosus
BGC0001779	siamycin	RiPP	Streptomyces nodosus
BGC0000187	asukamycin	Type II polyketide	Streptomyces nodosus subsp. asukaensis
BGC0000834	cathomycin	Hybrid/tailoring saccharide	Streptomyces niveus
BGC0000834	cathomycin	Aminocoumarin	Streptomyces niveus
BGC0001917	5-alkyl-1,2,3,4-tetrahydroquinolines, streptoaminals	Polyketide	Streptomyces nigrescens
BGC0000040	concanamycin A	Polyketide	Streptomyces neyagawaensis
BGC0000716	spectinomycin	Saccharide	Streptomyces netropsis
BGC0000125	pimaricin	Polyketide	Streptomyces natalensis
BGC0000899	desosamine	Other	Streptomyces narbonensis
BGC0000093	meilingmycin	Polyketide	Streptomyces nanchangensis
BGC0000105	nanchangmycin	Polyketide	Streptomyces nanchangensis
BGC0000096	midecamycin	Polyketide	Streptomyces mycarofaciens
BGC0000236	kinamycin	Polyketide	Streptomyces murayamaensis
BGC0000885	4-hydroxy-3-nitrosobenzamide	Other	Streptomyces murayamaensis
BGC0001414	griselimycin	NRP	Streptomyces muensis
BGC0001145	cyclothiazomycin b1	Thiopeptide	Streptomyces mobaraensis NBRC 13819 = DSM 40847
BGC0001633	ketomemicin B3, ketomemicin B4	Other	Streptomyces mobaraensis NBRC 13819 = DSM 40847
BGC0001674	MS-271	RiPP	Streptomyces mirabilis
BGC0001409	dutomycin	Polyketide	Streptomyces minoensis
BGC0001956	miharamycin A, miharamycin B	Polyketide	Streptomyces miharaensis
BGC0000414	quinocarcin	NRP	Streptomyces melanovinaceus
BGC0000677	cyclooctatin	Terpene	Streptomyces melanosporofaciens
BGC0000220	enterocin	Type II polyketide	Streptomyces maritimus
BGC0001802	thioholgamide A, thioholgamide B	RiPP	Streptomyces malaysiense
BGC0001046	streptolydigin	NRP	Streptomyces lydicus
BGC0001046	streptolydigin	Modular type I polyketide	Streptomyces lydicus
BGC0001046	streptolydigin	Hybrid/tailoring saccharide	Streptomyces lydicus
BGC0001896	carbazomycin B	Other	Streptomyces luteoverticillatus
BGC0001379	BD-12	NRP	Streptomyces luteocolor
BGC0000229	grincamycin	Type II polyketide	Streptomyces lusitanus
BGC0000229	grincamycin	Hybrid/tailoring saccharide	Streptomyces lusitanus
BGC0000394	naphthyridinomycin	NRP	Streptomyces lusitanus
BGC0000897	dehydrophos	Other	Streptomyces luridus
BGC0001592	ferroverdin	Other	Streptomyces lunaelactis
BGC0002029	bagremycin A, bagremycin B, bagremycin C, bagremycin E, bagremycin F, bagremycin G, ferroverdin A, ferroverdin B, ferroverdin C	Other	Streptomyces lunaelactis
BGC0000163	tetronasin	Polyketide	Streptomyces longisporoflavus
BGC0001302	lomofungin	Other	Streptomyces lomondensis
BGC0000028	bafilomycin B1	Modular type I polyketide	Streptomyces lohii
BGC0000708	lividomycin	Saccharide	Streptomyces lividus
BGC0001168	livipeptin	NRP	Streptomyces lividans 1326
BGC0001283	arsono-polyketide	Polyketide	Streptomyces lividans 1326
BGC0000596	SLI-2138	RiPP	Streptomyces lividans TK24
BGC0000907	lincomycin	Other	Streptomyces lincolnensis
BGC0001567	cysteoamide	NRP	Streptomyces lincolnensis
BGC0001329	rakicidin D	Polyketide	Streptomyces lilacinus
BGC0001329	rakicidin D	Cyclic depsipeptide	Streptomyces lilacinus
BGC0001287	chaxamycin A, chaxamycin B, chaxamycin C, chaxamycin D	Polyketide	Streptomyces leeuwenhoekii
BGC0001307	chaxapeptin	RiPP	Streptomyces leeuwenhoekii
BGC0000326	isocomplestatin	NRP	Streptomyces lavendulae
BGC0000422	saframycin A, saframycin B	NRP	Streptomyces lavendulae
BGC0000915	mitomycin	Aminocoumarin	Streptomyces lavendulae
BGC0001649	lavendiol	Polyketide	Streptomyces lavendulae
BGC0001916	lavendiol	Polyketide	Streptomyces lavendulae
BGC0002036	dehydrofosmidomycin	Other	Streptomyces lavendulae
BGC0000896	cycloserine	Other	Streptomyces lavendulae subsp. lavendulae
BGC0000614	thiostrepton	Thiopeptide	Streptomyces laurentii
BGC0000086	lasalocid	Polyketide	Streptomyces lasaliensis
BGC0000087	lasalocid	Polyketide	Streptomyces lasaliensis
BGC0000339	echinomycin	NRP	Streptomyces lasaliensis
BGC0000606	lactazole	Thiopeptide	Streptomyces lactacystinaeus
BGC0001694	meoabyssomicin, abyssomicin	Polyketide	Streptomyces koyangensis
BGC0001550	citrulassin D	RiPP	Streptomyces katrae
BGC0000707	kasugamycin	Saccharide	Streptomyces kasugaensis
BGC0000702	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000703	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000704	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000705	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0000706	kanamycin	Saccharide	Streptomyces kanamyceticus
BGC0001510	anisomycin	Other	Streptomyces hygrospinosus
BGC0000066	geldanamycin	Polyketide	Streptomyces hygroscopicus
BGC0000067	geldanamycin	Polyketide	Streptomyces hygroscopicus subsp. duamyceticus
BGC0000068	geldanamycin	Polyketide	Streptomyces hygroscopicus
BGC0000074	herbimycin A	Polyketide	Streptomyces hygroscopicus
BGC0000345	eponemycin	NRP	Streptomyces hygroscopicus
BGC0000345	eponemycin	Modular type I polyketide	Streptomyces hygroscopicus
BGC0000388	mannopeptimycin	NRP	Streptomyces hygroscopicus
BGC0000603	cyclothiazomycin	Thiopeptide	Streptomyces hygroscopicus
BGC0000698	hygromycin A	Saccharide	Streptomyces hygroscopicus
BGC0000994	FR-900520	NRP	Streptomyces hygroscopicus subsp. ascomyceticus
BGC0000994	FR-900520	Polyketide	Streptomyces hygroscopicus subsp. ascomyceticus
BGC0000699	hygromycin A	Saccharide	Streptomyces hygroscopicus subsp. hygroscopicus
BGC0000722	validamycin A	Polyketide	Streptomyces hygroscopicus subsp. jinggangensis
BGC0000722	validamycin A	Cyclitol	Streptomyces hygroscopicus subsp. jinggangensis
BGC0000723	β-D-galactosylvalidoxylamine-A	Saccharide	Streptomyces hygroscopicus subsp. limoneus
BGC0000701	jinggangmycin	Saccharide	Streptomyces hygroscopicus subsp. yingchengensis
BGC0001959	taylorflavin A, taylorflavin B	Other	Streptomyces hiroshimensis
BGC0001960	hiroshidine	Polyketide	Streptomyces hiroshimensis
BGC0001972	toxoflavin, fervenulin	Other	Streptomyces hiroshimensis
BGC0001973	fervenulin	Other	Streptomyces hiroshimensis
BGC0000171	9-methylstreptimidone	Modular type I polyketide	Streptomyces himastatinicus ATCC 53653
BGC0001117	himastatin	NRP	Streptomyces himastatinicus ATCC 53653
BGC0001967	acyldepsipeptide 1	NRP	Streptomyces hawaiiensis
BGC0000073	halstoctacosanolide A	Polyketide	Streptomyces halstedii
BGC0000167	vicenistatin	Polyketide	Streptomyces halstedii
BGC0000224	fredericamycin A	Type II polyketide	Streptomyces griseus
BGC0000231	griseusin	Polyketide	Streptomyces griseus
BGC0000949	A-500359 A, A-500359 B	NRP	Streptomyces griseus
BGC0001828	griseochelin	Polyketide	Streptomyces griseus
BGC0002028	frigocyclinone	Polyketide	Streptomyces griseus
BGC0000210	chromomycin A3	Type II polyketide	Streptomyces griseus subsp. griseus
BGC0000210	chromomycin A3	Oligosaccharide	Streptomyces griseus subsp. griseus
BGC0000243	macrotetrolide	Polyketide	Streptomyces griseus subsp. griseus
BGC0000244	macrotetrolide	Polyketide	Streptomyces griseus subsp. griseus
BGC0000252	nonactin	Polyketide	Streptomyces griseus subsp. griseus
BGC0001206	indolmycin	Other	Streptomyces griseus subsp. griseus
BGC0000282	alkylresorcinol	Polyketide	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000496	AmfS	Lanthipeptide	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000583	grisemycin	Linaridin	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000649	carotenoid	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000658	2-methylisoborneol	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000662	grixazone	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000664	isorenieratene	Terpene	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000724	streptomycin	Saccharide	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000848	A-factor	Other	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000911	melanin	Other	Streptomyces griseus subsp. griseus NBRC 13350
